"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jericho Sims","Mil","*","C","27.4","49","17.6","8.6","30.9","29","0.586","107","0.841","0","0","0.841","0.822","4","5","1.1","0.2","0.3","1","9","5.1","10.1","6.4","139.6","109.9"
"","Anthony Gill","Was","*","F","33.4","37","12.8","11.9","16.6","21","0.714","80","0.688","25","0.32","0.638","0.652","4","2.4","0.9","0.4","0.3","0.6","6.4","4.9","7.3","6.4","125.6","117.4"
"","Tyus Jones","Dal","","G","29.8","8","16.6","12.6","12.7","2","0.5","15","0.6","19","0.211","0.441","0.444","3.9","1.1","3.8","0.4","0","0.6","5","7.6","8.8","6.1","108.7","117.4"
"","Myron Gardner","Mia","*","F","24.8","34","9.8","14.6","9.1","23","0.739","49","0.551","51","0.412","0.585","0.608","3.9","3.1","1.1","0.5","0.1","0.3","7","5","8.1","9.7","134.4","95.3"
"","Zeke Nnaji","Den","*","F-C","25.2","45","12.5","13.8","15.1","42","0.786","88","0.591","47","0.277","0.53","0.573","3.9","2.7","0.5","0.3","0.5","0.5","6.6","4.4","7.2","5.6","114.2","108.5"
"","Caleb Martin","Dal","*","F","30.5","55","14.9","12.4","17.1","57","0.579","127","0.496","52","0.365","0.511","0.529","3.9","2.5","1.4","0.7","0.2","0.7","6.4","5.3","7.9","6.4","106.8","106.8"
"","Jordan Hawkins","Nor","*","G","23.9","41","12.5","17.1","11.3","18","0.778","78","0.346","102","0.294","0.4","0.42","3.9","1.5","0.7","0.2","0.2","0.6","5.4","4.5","6","5.1","88.8","120.8"
"","Josh Minott","Bro","*","F","23.3","6","12.6","17.4","23.9","3","0.667","8","0.75","14","0.214","0.477","0.493","3.8","1.7","0.5","0.7","0.2","1.2","5.5","4.3","6","4.7","85.4","122.2"
"","Dalen Terry","Phi","*","F","23.7","6","12.1","14.7","8.6","5","0.6","10","0.4","11","0.364","0.476","0.496","3.8","1.7","2","0.7","0.2","0.3","5.5","5.8","7.5","7.8","118","113.8"
"","Kyle Anderson","Min","*","F-G","32.5","3","14.5","7.5","0","4","0.75","6","0.667","0","0","0.667","0.709","3.7","3.3","2.3","0","0.3","0","7","6","9.3","8.4","171.7","97.6"
"","Doug McDermott","Sac","*","F","34.2","14","8.9","17","12.1","2","1","2","0.5","41","0.39","0.581","0.593","3.7","0.7","0.3","0.2","0.1","0.4","4.4","4","4.7","4.1","105.7","120.2"
"","Ousmane Dieng","Okc","","F","22.8","27","10.9","14.9","8","6","1","42","0.476","49","0.367","0.516","0.534","3.7","1.6","1","0.1","0.3","0.3","5.3","4.7","6.3","6.6","114.3","106.5"
"","Jaylen Clark","Min","*","G","24.4","57","12.8","12.8","9.7","59","0.627","103","0.524","74","0.297","0.492","0.52","3.7","1.8","0.5","0.7","0.1","0.3","5.5","4.2","6","4.7","115","107.4"
"","Moussa Cisse","Dal","*","C","23.5","34","12.5","13.6","23.1","66","0.439","83","0.59","0","0","0.59","0.567","3.7","4.9","0.2","0.4","1.1","0.7","8.6","4","8.9","4.9","116","100.8"
"","Carter Bryant","San","*","F","20.3","54","10.1","16.9","9.6","24","0.667","74","0.432","113","0.336","0.476","0.491","3.6","2.2","0.4","0.2","0.3","0.4","5.8","4","6.2","5.8","102","103.9"
